organization,publisher,publisher_1,publisher_2,publisher_3,publisher_4,publisher_5
agricultural-marketing-service-department-of-agriculture,Department of Agriculture,Agricultural Marketing Service,,,,
department-of-agriculture,Department of Agriculture,Agricultural Marketing Service,,,,
department-of-agriculture,Department of Agriculture,Agricultural Research Service,,,,
department-of-agriculture,Department of Agriculture,Animal and Plant Health Inspection Service,,,,
department-of-agriculture,Department of Agriculture,Departmental Management,,,,
department-of-agriculture,Department of Agriculture,Economic Research Service,,,,
department-of-agriculture,Department of Agriculture,Farm Service Agency,,,,
department-of-agriculture,Department of Agriculture,Food and Nutrition Service,,,,
department-of-agriculture,Department of Agriculture,Food Safety and Inspection Service,,,,
department-of-agriculture,Department of Agriculture,Foreign Agricultural Service,,,,
department-of-agriculture,Department of Agriculture,GIPSA,Federal Grain Inspection Service,,,
department-of-agriculture,Department of Agriculture,National Institute of Food and Agriculture,,,,
department-of-agriculture,Department of Agriculture,National Agricultural Statistics Service,,,,
department-of-agriculture,Department of Agriculture,Natural Resources Conservation Service,Colorado State University,,,
department-of-agriculture,Department of Agriculture,Rural Development,,,,
department-of-agriculture,Department of Agriculture,US Forest Service,,,,
department-of-commerce,Department of Commerce,Bureau of Industry and Security,,,,
department-of-commerce,Department of Commerce,Bureau of Economic Analysis,,,,
department-of-commerce,Department of Commerce,International Trade Administration,,,,
department-of-commerce,Department of Commerce,National Institute of Standards and Technology,,,,
department-of-commerce,Department of Commerce,National Oceanic and Atmospheric Administration,,,,
department-of-commerce,Department of Commerce,National Technical Information Service,,,,
department-of-commerce,Department of Commerce,National Telecommunication and Information Administration,,,,
department-of-commerce,Department of Commerce,National Weather Service,,,,
department-of-commerce,Department of Commerce,U.S. Census Bureau,,,,
department-of-commerce,Department of Commerce,US Patent and Trademark Office,,,,
department-of-defense,Department of Defense,Department of the Air Force,,,,
department-of-energy,Department of Energy,National Energy Technology Laboratory,,,,
department-of-energy,Department of Energy,Argonne National Laboratory,,,,
department-of-energy,Department of Energy,ARPA-E,,,,
department-of-energy,Department of Energy,Atmospheric Radiation Measurement (ARM) Climate Research Facility,,,,
department-of-energy,Department of Energy,Congressional and Intergovernmental Affairs,,,,
department-of-energy,Department of Energy,Economic Impact and Diversity,Office of Civil Rights,,,
department-of-energy,Department of Energy,Energy Information Administration,,,,
department-of-energy,Department of Energy,Energy Policy and Systems Analysis,,,,
department-of-energy,Department of Energy,Environmental Management Consolidated Business Center,,,,
department-of-energy,Department of Energy,General Counsel,,,,
department-of-energy,Department of Energy,Indian Energy Policy and Programs,,,,
department-of-energy,Department of Energy,Inspector General,,,,
department-of-energy,Department of Energy,Intelligence and Counterintelligence,,,,
department-of-energy,Department of Energy,International Affairs,,,,
department-of-energy,Department of Energy,Loan Programs Office,,,,
department-of-energy,Department of Energy,National Renewable Energy Laboratory,,,,
department-of-energy,Department of Energy,National Nuclear Security Administration,,,,
department-of-energy,Department of Energy,Nuclear Energy,,,,
department-of-energy,Department of Energy,Oak Ridge National Laboratory,,,,
department-of-energy,Department of Energy,Office of Chief Financial Officer,,,,
department-of-energy,Department of Energy,Office of Chief Human Capital Officer,,,,
department-of-energy,Department of Energy,Office of Chief Information Officer,,,,
department-of-energy,Department of Energy,Office of Electricity,,,,
department-of-energy,Department of Energy,Office of Energy Efficiency and Renewable Energy,,,,
department-of-energy,Department of Energy,Office of Environmental Management,,,,
department-of-energy,Department of Energy,Office of Fossil Energy,,,,
department-of-energy,Department of Energy,Office of Hearings and Appeals,,,,
department-of-energy,Department of Energy,Office of Legacy Management,,,,
department-of-energy,Department of Energy,Office of Nuclear Energy,Idaho National Laboratory,,,
department-of-energy,Department of Energy,Office of Science,,,,
department-of-energy,Department of Energy,Office of Scientific and Technical Information,,,,
department-of-energy,Department of Energy,Public Affairs,,,,
department-of-energy,Department of Energy,Richland Operations and the Office of River Protection,,,,
department-of-energy,Department of Energy,Small and Disadvantaged Business Utilization,,,,
department-of-justice,Department of Justice,Antitrust Division,,,,
department-of-justice,Department of Justice,Bureau of Justice Statistics,,,,
department-of-justice,Department of Justice,Bureau of Prisons,,,,
department-of-justice,Department of Justice,Bureau of Justice Statistics,,,,
department-of-justice,Department of Justice,Civil Division,,,,
department-of-justice,Department of Justice,Civil Rights Division,,,,
department-of-justice,Department of Justice,Criminal Division,,,,
department-of-justice,Department of Justice,Community Relations Service,,,,
department-of-justice,Department of Justice,Drug Enforcement Administration,,,,
department-of-justice,Department of Justice,Environment and Natural Resources Division,,,,
department-of-justice,Department of Justice,Executive Office for Immigration Review,,,,
department-of-justice,Department of Justice,Executive Office for United States Attorneys,,,,
department-of-justice,Department of Justice,Federal Bureau of Investigation,,,,
department-of-justice,Department of Justice,National Institute of Justice,,,,
department-of-justice,Department of Justice,Office of the Inspector General,,,,
department-of-justice,Department of Justice,Office of Information Policy,,,,
department-of-justice,Department of Justice,Office of Juvenile Justice and Delinquency Prevention,,,,
department-of-justice,Department of Justice,Office of Justice Programs,,,,
department-of-justice,Department of Justice,Office of Legal Counsel,,,,
department-of-justice,Department of Justice,US Attorney's Office,,,,
department-of-justice,Department of Justice,United States Marshals Service,,,,
department-of-justice,Department of Justice,United States Parole Commission,,,,
department-of-justice,Department of Justice,US Trustee Program,,,,
department-of-housing-and-urban-development,Department of Housing and Urban Development,Office of Housing,,,,
department-of-labor,Department of Labor,API Management,,,,
department-of-labor,Department of Labor,Bureau of International Labor Affairs,,,,
department-of-labor,Department of Labor,Employee Benefits Security Administration,,,,
department-of-labor,Department of Labor,Employment and Training Administration,,,,
department-of-labor,Department of Labor,Mine Safety and Health Administration,,,,
department-of-labor,Department of Labor,Office of the Assistant Secretary for Administration and Management,,,,
department-of-labor,Department of Labor,Office of the Chief Financial Officer,,,,
department-of-labor,Department of Labor,Office of the Chief Information Officer,,,,
department-of-labor,Department of Labor,Office of Disability Employment Policy,,,,
department-of-labor,Department of Labor,Office of Federal Contract Compliance Programs,,,,
department-of-labor,Department of Labor,Office of Labor Management Standards,,,,
department-of-labor,Department of Labor,Occupational Safety and Health Administration,,,,
department-of-labor,Department of Labor,Office of Workers’ Compensation Programs,,,,
department-of-labor,Department of Labor,Office of the Solicitor,,,,
department-of-labor,Department of Labor,Veterans’ Employment and Training Service,,,,
department-of-labor,Department of Labor,Wage and Hour Division,,,,
department-of-labor,Department of Labor,Women's Bureau,,,,
us-department-of-labor-bureau-of-labor-statistics,Department of Labor,Employee Benefits Security Administration,,,,
us-department-of-labor-bureau-of-labor-statistics,Department of Labor,Employment and Training Administration,,,,
us-department-of-labor-bureau-of-labor-statistics,Department of Labor,Bureau of International Labor Affairs,,,,
us-department-of-labor-bureau-of-labor-statistics,Department of Labor,Mine Safety and Health Administration,,,,
us-department-of-labor-bureau-of-labor-statistics,Department of Labor,Office of the Assistant Secretary for Administration and Management,,,,
us-department-of-labor-bureau-of-labor-statistics,Department of Labor,Office of Chief Financial Officer,,,,
us-department-of-labor-bureau-of-labor-statistics,Department of Labor,Office of Chief Information Officer,,,,
us-department-of-labor-bureau-of-labor-statistics,Department of Labor,Office of Disability Employment Policy,,,,
us-department-of-labor-bureau-of-labor-statistics,Department of Labor,Office of Federal Contract Compliance Programs,,,,
us-department-of-labor-bureau-of-labor-statistics,Department of Labor,Office of Labor Management Standards,,,,
us-department-of-labor-bureau-of-labor-statistics,Department of Labor,Occupational Safety and Health Administration,,,,
us-department-of-labor-bureau-of-labor-statistics,Department of Labor,Office of Workers’ Compensation Programs,,,,
us-department-of-labor-bureau-of-labor-statistics,Department of Labor,Office of the Solicitor,,,,
us-department-of-labor-bureau-of-labor-statistics,Department of Labor,Veterans’ Employment and Training Service,,,,
us-department-of-labor-bureau-of-labor-statistics,Department of Labor,Women’s Bureau,,,,
us-department-of-labor-bureau-of-labor-statistics,Department of Labor,Wage and Hour Division,,,,
us-department-of-labor-benefits-gov-program,Department of Labor,Employee Benefits Security Administration,,,,
us-department-of-labor-benefits-gov-program,Department of Labor,Employment and Training Administration,,,,
us-department-of-labor-benefits-gov-program,Department of Labor,Bureau of International Labor Affairs,,,,
us-department-of-labor-benefits-gov-program,Department of Labor,Mine Safety and Health Administration,,,,
